经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18061,吉林市凯利凯汽车贸易有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18283,长春久鼎汽车销售服务有限公司,北区,北区,,,50657.729999999996,13340.339999999998,63998.06999999999,,63998.06999999999,,
M18233,泰安金马汽车销售服务有限公司,中区,中区,,,15719.279999999999,1512.39,17231.67,,17231.67,,
M18042,深圳通利华龙城汽车销售服务有限公司,南区,南一区,,,119182.64,8334.380000000001,127517.02,,127517.02,,
M18580,陕西欣达汽车贸易有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
A32365,宿州市禹潞汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18246,遵义乾坤君马汽车销售有限公司,西区,西一区,,,49565.960000000014,6123.3,55689.26000000002,,55689.26000000002,,
M18265,洛阳隆马汽车销售服务有限公司,中区,中区,,,36103.25999999999,16274.34,52377.59999999999,,52377.59999999999,,
M18897,沧州仓安汽车销售服务有限公司,北区,北区,,,62876.56000000002,7089.3,69965.86000000002,,69965.86000000002,,
M18295,长治市汇众汇达汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18197,渭南骏广汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
A19776,邢台蓝池跃龙汽车服务有限公司,北区,北区,,,51895.56000000002,1884.8600000000001,53780.42000000002,,53780.42000000002,,
M18088,佛山智迪汽车有限公司,南区,南一区,,,7576.69,530.97,8107.66,,8107.66,,
M18179,廊坊市永昂汽车销售有限公司,北区,北区,,,19903.130000000005,0.0,19903.130000000005,,19903.130000000005,,
M18240,淮安市雨田领辰汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18557,东莞市新天地汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18208,毕节福马汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18306,北京瑞豪成商贸有限公司,北区,北区,,,14037.83,4137.48,18175.309999999998,,18175.309999999998,,
A27675,许昌市锦天汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18362,东莞市通华汽车销售服务有限公司,南区,南一区,,,126408.44999999991,2654.8,129063.24999999991,,129063.24999999991,,
A32801,辽宁旺达汽车销售服务有限公司,北区,北区,,,28620.889999999996,4178.93,32799.81999999999,,32799.81999999999,,
M18095,内蒙古鸿达汽车销售服务有限公司,北区,北区,,,44152.32,0.0,44152.32,,44152.32,,
M18150,新疆广利汽车有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
A22778,宜兴市苏源汽车销售服务有限公司,东区,东区,,,70837.71000000004,6123.3,76961.01000000004,,76961.01000000004,,
M18902,许昌吉运汽车销售服务有限公司,中区,中区,,,62034.55999999999,0.0,62034.55999999999,,62034.55999999999,,
M18199,梧州市悦马汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18070,泰兴市天利达汽车贸易有限公司,东区,东区,,,99197.17999999995,5310.950000000001,104508.12999999995,,104508.12999999995,,
M18072,重庆市驰星汽车销售有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
A28858,清远市骏昇汽车销售服务有限公司,南区,南一区,,,63040.410000000025,10105.5,73145.91000000003,,73145.91000000003,,
M18184,江门市领泰汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18051,百色万马汽车销售服务有限公司,南区,南一区,,,129934.76000000008,21270.64,151205.40000000008,,151205.40000000008,,
A27235,威海金驰汽车销售服务有限公司,中区,中区,,,53084.46000000001,0.0,53084.46000000001,,53084.46000000001,,
M18326,南阳兴业汽车销售服务有限公司,中区,中区,,,52348.23,6123.3,58471.530000000006,,58471.530000000006,,
M18045,酒泉海博汽车销售有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18178,广州市悦马汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18889,安庆瑞呈汽车销售服务有限公司,中区,中区,,,28902.949999999997,3682.7200000000003,32585.67,,32585.67,,
M18218,包头市鸿燕福达汽车销售服务有限公司,北区,北区,,,43602.01000000001,22698.59,66300.6,,66300.6,,
M18888,青海金团汽车销售服务有限公司,西区,西二区,,,118378.64999999994,13779.66,132158.30999999994,,132158.30999999994,,
M18346,柳州鑫广达汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18307,北京华日通汽车销售服务有限公司,北区,北区,,,111656.46000000011,11307.9,122964.3600000001,,122964.3600000001,,
M18239,丽水旺昌汽车销售服务有限公司,东区,东区,,,32604.250000000004,4896.32,37500.57000000001,,37500.57000000001,,
M18323,新乡市弘森汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18964, 新乡市弘森汽车销售服务有限公司,中区,中区,,,35083.8,11549.2,46633.0,,46633.0,,
M18230,九江景润汽车销售服务有限公司,南区,南二区,,,26830.809999999994,1458.96,28289.769999999993,,28289.769999999993,,
M18330,河南冠豪汽车销售有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18898,南充创达丰汽车服务有限公司,西区,西一区,,,29763.399999999998,22228.98,51992.38,,51992.38,,
M18296,河北王世汽车贸易有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18102,德阳宏羽凯威汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18234,永州驭马汽车销售服务有限公司,南区,南二区,,,54343.17000000002,23436.9,77780.07000000002,,77780.07000000002,,
M18328,焦作双达汽车销售服务有限公司,中区,中区,,,69499.88000000003,11155.460000000001,80655.34000000004,,80655.34000000004,,
M18137,宿迁永泓汽车销售服务有限公司,东区,东区,,,56906.63,6404.5,63311.13,,63311.13,,
M18135,阳江市通利华汽车服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18343,湖南长驰瑞马汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18562,绵阳嘉成汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18576,陕西润达汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18085,新疆天汇华龙汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
