经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
,,,,张裕坤,,,,,,6842000,2169900,2169900,2502200,
,,,,陈莉,,,,,,7122800,2258700,2258700,2605400,
,,,,蔡永生,,,,,,2982400,945900,945900,1090600,
,,,,卢冶金,,,,,,3896000,1235400,1235400,1425200,
,,,,孔立刚,,,,,,7616000,2415100,2415100,2785800,
,,,,张哲,,,,,,7605400,2411700,2222460,2563680,
,,,,倪超,,,,,,11572400,3670000,3670000,4232400,
,,,,李兴坤,,,,,,7389000,2343000,2343000,2703000,
,,,,李伟,,,,,,8245400,2614900,2614900,3015600,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,东区,18456700.0,,,,,,
,,,,,,,南一区,13484200.0,,,,,,
,,,,,,,南二区,6065100.0,,,,,,
,,,,,,,西区,9198100.0,,,,,,
,,,,,,,北区,7878400.0,,,,,,
,,,,,,,中区,8696600.0,,,,,,
,,,,,,,全国,63779100.0,,,,,,
