经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
A15497,福州杰龙车业发展有限公司,福州杰龙,福建省,福州市,福州龙益,正常,南区,陈建民,76685.99999999999,19850.04,,,,,,,,,,,293.0,169.0,,,,,,,,,,
M18220,上海苏源汽车销售服务有限公司,上海苏源,上海市,上海市,上海苏源,正常,东区,张晔,118775.76000000004,48111.780000000006,,,,,,,,,,,333.0,246.0,,,,,,,,,,
M18390,保定市威达汽车销售服务有限公司,保定市威达,河北省,保定市,中冀汽车集团,正常,北区,鲁金泽,69187.02,38671.8,,,,,,,,,,,343.0,260.0,,,,,,,,,,
M18235,湖南长驰长马汽车销售服务有限公司,湖南长驰长马,湖南省,长沙市,湖南长驰,正常,南区,李志杰,42840.18,41652.9,,,,,,,,,,,343.0,296.0,,,,,,,,,,
M18014,舟山凯桥汽车销售有限公司,舟山凯桥,浙江省,舟山市,舟山凯桥,正常,东区,李波,76483.56000000001,46624.98000000001,,,,,,,,,,,253.0,217.0,,,,,,,,,,
M18251,长沙瑞亿达汽车销售服务有限公司,长沙瑞亿达,湖南省,长沙市,湖南长驰,正常,南区,李志杰,38874.9,44722.8,,,,,,,,,,,319.0,258.0,,,,,,,,,,
A13261,潍坊东裕车业发展有限公司,潍坊东裕,山东省,潍坊市,潍坊东裕,正常,中区,李伟,123939.03000000004,59031.57000000001,,,,,,,,,,,321.0,207.0,,,,,,,,,,
A13265,武汉龙泰元汽车销售服务有限公司,武汉龙泰元,湖北省,武汉市,武汉龙泰元,正常,中区,张哲,124335.12000000001,65602.02,,,,,,,,,,,401.0,313.0,,,,,,,,,,
A18055,吉林省瑞祥汽车销售服务有限公司,吉林省瑞祥,吉林省,长春市,,正常,北区,唐宏宇,16230.120000000003,20560.56,,,,,,,,,,,136.0,100.0,,,,,,,,,,
M18180,南京天辉汽车销售服务有限公司,南京天辉,江苏省,南京市,南京天和,正常,东区,钱曦,119185.14000000001,26993.399999999998,,,,,,,,,,,297.0,250.0,,,,,,,,,,
M18307,北京华日通汽车销售服务有限公司,北京华日通,北京市,北京市,北京华日通,正常,北区,祁玮,77462.13,22493.669999999995,,,,,,,,,,,198.0,141.0,,,,,,,,,,
M18052,咸阳伟益汽车销售服务有限公司,咸阳伟益,陕西省,咸阳市,西安骏广,正常,西区,李兴坤,62487.36000000001,56243.82,,,,,,,,,,,262.0,179.0,,,,,,,,,,
M18118,1赣州腾马汽车服务有限公司,赣州腾马,江西省,赣州市,赣州腾马,正常,南区,王胜文,53209.38,15017.7,,,,,,,,,,,382.0,330.0,,,,,,,,,,
A13275,烟台泓和汽车销售服务有限公司,烟台泓和,山东省,烟台市,烟台大成,正常,中区,李付敬,57716.40000000001,47681.46,,,,,,,,,,,325.0,180.0,,,,,,,,,,
M18913,乌鲁木齐笑好景星汽车销售有限公司,乌鲁木齐笑好,新疆维吾尔自治区,乌鲁木齐市,笑好集团,正常,西区,蔡永生,0.0,31120.14,,,,,,,,,,,305.0,156.0,,,,,,,,,,
M18353,厦门吉顺丰汽车贸易有限公司,厦门吉顺丰,福建省,厦门市,厦门吉顺丰,正常,南区,陈建民,112810.38000000002,29074.320000000003,,,,,,,,,,,566.0,325.0,,,,,,,,,,
M18610,广西马之悦汽车销售服务有限公司,广西马之悦,广西壮族自治区,南宁市,广西马之悦,正常,南区,薛仲锋,82654.38,14178.6,,,,,,,,,,,272.0,233.0,,,,,,,,,,
M18025,肇庆美轮庆达汽车有限公司,肇庆美轮庆达,广东省,肇庆市,,正常,南区,宋扬,21932.579999999998,13471.26,,,,,,,,,,,227.0,148.0,,,,,,,,,,
M23002,重庆瀚达汽车销售服务有限公司,重庆瀚达,重庆市,重庆市,,正常,西区,孔立刚,73035.68999999999,37931.64,,,,,,,,,,,209.0,171.0,,,,,,,,,,
M18049,芜湖瑞马汽车销售服务有限公司,芜湖瑞马,安徽省,芜湖市,芜湖瑞马,正常,中区,李付敬,125972.64000000001,27979.2,,,,,,,,,,,294.0,180.0,,,,,,,,,,
A13300,泰州天顺达汽车贸易有限公司,泰州天顺达,江苏省,泰州市,天字集团,正常,东区,钱曦,62434.62,34873.380000000005,,,,,,,,,,,278.0,194.0,,,,,,,,,,
M18099,山西马博士汽车销售有限公司,山西马博士,山西省,太原市,山西马博士,正常,北区,姜洙,48842.76,25122.36,,,,,,,,,,,317.0,210.0,,,,,,,,,,
M18511,温州将军汽车销售服务有限公司,温州将军,浙江省,温州市,温州将军,正常,东区,陈秋刚,84558.60000000002,67106.81999999999,,,,,,,,,,,386.0,278.0,,,,,,,,,,
A14861,银川瑞鼎汽车销售服务有限公司,银川瑞鼎,宁夏回族自治区,银川市,银川瑞鼎,正常,西区,蔡永生,6123.3,13800.6,,,,,,,,,,,224.0,116.0,,,,,,,,,,
M23003,湖州长马汽车销售服务有限公司,湖州长马,浙江省,湖州市,湖州长马,正常,东区,张晔,57391.380000000005,22199.760000000002,,,,,,,,,,,206.0,224.0,,,,,,,,,,
M18229,天津远大盈之马汽车销售服务有限公司,天津远大,天津市,天津市,天津远大,正常,北区,邵传海,66812.85,46618.14,,,,,,,,,,,251.0,149.0,,,,,,,,,,
M18573,云南善为汽车销售服务有限公司,云南善为,云南省,昆明市,云南善为,正常,西区,蒋旗,115422.27,51693.36000000001,,,,,,,,,,,287.0,304.0,,,,,,,,,,
M18283,长春久鼎汽车销售服务有限公司,长春久鼎,吉林省,长春市,吉林仁德,正常,北区,唐宏宇,51348.00000000001,34665.96,,,,,,,,,,,155.0,164.0,,,,,,,,,,
M18105,苏州恒合汽车销售有限公司,苏州恒合,江苏省,苏州市,瀚龙集团,正常,东区,晏礼奎,70111.02000000002,34600.020000000004,,,,,,,,,,,340.0,245.0,,,,,,,,,,
A30536,周口鑫马汽车销售服务有限公司,周口鑫马,河南省,周口市,周口鑫马,正常,中区,倪超,45065.520000000004,31582.5,,,,,,,,,,,217.0,254.0,,,,,,,,,,
A26215,桐乡市振华汽车贸易有限公司,桐乡市振华,浙江省,嘉兴市,桐乡振华,正常,东区,张晔,96618.96000000002,50003.46000000001,,,,,,,,,,,324.0,217.0,,,,,,,,,,
